worker_id,years_education,age,gender,location,state,sector,employment_type,social_group,religion,experience,education_level,log_wage,monthly_wage
1,6,44.0,Male,Urban,West Bengal,Agriculture,Casual Labour,OBC,Muslim,32.0,Primary,9.799837569793938,18031
2,8,50.0,Female,Urban,Karnataka,Trade,Self-Employed,General,Other,36.0,Middle,9.596299867919956,14710
3,1,41.0,Male,Rural,Haryana,Construction,Self-Employed,ST,Hindu,34.0,No Education,9.507462636886219,13460
4,0,19.0,Female,Rural,West Bengal,Services,Self-Employed,OBC,Hindu,13.0,No Education,9.216055865061355,10057
5,2,40.0,Male,Rural,Odisha,Services,Self-Employed,OBC,Hindu,32.0,No Education,9.960733927044693,21178
6,1,41.0,Male,Rural,Karnataka,Agriculture,Casual Labour,OBC,Hindu,34.0,No Education,9.267095425289655,10584
7,8,35.0,Male,Rural,Assam,Agriculture,Self-Employed,SC,Hindu,21.0,Middle,9.00732692553381,8163
8,8,45.0,Male,Rural,Uttar Pradesh,Manufacturing,Casual Labour,OBC,Hindu,31.0,Middle,10.141614934479561,25377
9,5,41.0,Male,Rural,Bihar,Agriculture,Self-Employed,OBC,Other,30.0,Primary,9.03441801878238,8387
10,4,48.0,Female,Rural,Kerala,Agriculture,Self-Employed,OBC,Hindu,38.0,No Education,8.979391969189132,7938
11,0,24.0,Male,Rural,Bihar,Construction,Regular Wage,OBC,Muslim,18.0,No Education,9.34625849301303,11456
12,9,47.0,Male,Rural,Haryana,Agriculture,Regular Wage,OBC,Hindu,32.0,Middle,9.326478309203514,11232
13,6,25.0,Female,Urban,West Bengal,Construction,Casual Labour,OBC,Hindu,13.0,Primary,9.620010259640805,15063
14,14,39.0,Male,Urban,Karnataka,Agriculture,Self-Employed,OBC,Muslim,19.0,Higher Secondary,10.631698154292295,41427
15,7,26.0,Male,Urban,Bihar,Agriculture,Regular Wage,OBC,Hindu,13.0,Primary,9.81610151812269,18326
16,6,34.0,Female,Rural,Rajasthan,Construction,Self-Employed,General,Hindu,22.0,Primary,8.778291951802922,6492
17,4,18.0,Male,Rural,Andhra Pradesh,Construction,Self-Employed,OBC,Hindu,8.0,No Education,9.366475959364472,11690
18,2,33.0,Female,Rural,Andhra Pradesh,Services,Regular Wage,OBC,Hindu,25.0,No Education,9.833380210568636,18646
19,7,28.0,Female,Rural,Uttar Pradesh,Trade,Casual Labour,General,Hindu,15.0,Primary,9.747974026375713,17120
20,8,38.0,Male,Rural,Tamil Nadu,Manufacturing,Self-Employed,General,Hindu,24.0,Middle,10.090756498639896,24119
21,2,36.0,Male,Urban,Kerala,Agriculture,Regular Wage,General,Hindu,28.0,No Education,10.223945514109975,27555
22,1,34.0,Female,Rural,Kerala,Agriculture,Casual Labour,General,Hindu,27.0,No Education,8.699507280598404,6000
23,14,24.0,Female,Rural,Kerala,Agriculture,Regular Wage,OBC,Hindu,4.0,Higher Secondary,9.329451816807365,11265
24,2,40.0,Female,Rural,Tamil Nadu,Services,Regular Wage,General,Hindu,32.0,No Education,9.449231630975033,12698
25,2,25.0,Male,Rural,Maharashtra,Construction,Self-Employed,SC,Muslim,17.0,No Education,8.88606651796161,7231
26,9,36.0,Female,Rural,Karnataka,Agriculture,Self-Employed,ST,Hindu,21.0,Middle,9.014944775355298,8225
